"","nazwa","wyswietlacz","pamie_RAM","pamie_wbudowana","aparat_foto","cena","liczba_opinii","ocena_klientow"
"1","Huawei P20","2244x1080",4,64,12,1499,50,2.0
"2","Huawei P20 Pro","2240x1080",6,64,40,1999,100,1.0
"3","Huawei Mate 20 RS","3120 x 1440",6,256,40,3799,55,2.5
"4","Huawei P30 Lite","2312x1080",4,128,48,1249,40,3.0
"5","Huawei Mate 10","1440 x 2560",4,64,20,2000,50,4.0
"6","Huawei Mate 10 Pro","1080 x 2160",4,64,20,2399,100,5.0
"7","Huawei Mate 10 Porsche Design","1080 x 2160",6,256,20,3799,50,1.5
"8","Huawei Mate RS Porsche Design","2880 x 1440",6,512,40,3799,30,1.0
"9","Huawei Mate 20 Lite","1080 x 2340",4,64,20,999,100,2.0
"10","Huawei P smart 2019","1080 x 2340",3,32,13,699,50,3.5
"11","Huawei Mate Xs","2480 x 2200",8,512,40,10000,35,1.0
"12","Huawei P40 Lite","1080 x 2310",6,128,48,1599,50,3.5
"13","Huawei Ascend G7","720 x 1280",2,16,13,499,50,2.0
"14","Huawei Ascend D2 LTE","720 x 1280",2,32,13,700,60,1.0
"15","Huawei Ideos X5 Pro","480 x 800",512,4,5,300,50,5.0

